event_time,news_id,score_0,score_1,score_2,score_3,score_4,score_5,north,south,east,west
1611737541,2404,40,20,30,50,70,60,14.8,14.4,121.5,121.0
1611739897,2403,70,65,30,75,80,85,41.25,41.15,29.2,29.0
1611763200,2387,20,40,0,0,10,60,25.3,24.9,56.6,56.2
1611763200,2394,10,30,0,40,70,50,56.06,56.04,-3.22,-3.24
1611818400,9755,20,70,10,40,60,50,37.19,37.17,138.26,138.24
1611846000,2397,70,95,30,100,30,100,56.9085,56.895,12.5,12.48
1611880320,2400,70,60,40,80,85,75,34.1167,34.0833,126.2167,126.1667
1611912404,2395,20,40,10,20,60,20,40.98,40.96,28.91,28.89
1611936000,2383,30,40,10,0,50,70,44.65,36.85,-63.57,-76.29
1611952200,2393,60,50,30,0,85,70,6.1375,5.5,1.5,1.0
1611983864,2392,40,70,10,60,80,75,-7.15,-7.16,112.66,112.65
1612038688,2391,50,50,20,0,30,10,43.6,43.4,-8.1,-8.3
1612065600,2390,30,70,50,60,80,50,40.3,39.8,26.5,26.0
1612144800,2385,20,40,30,70,60,10,30.3,30.2,32.4,32.3
1612170401,2386,0,60,0,0,20,70,44.8344,44.8244,-87.377,-87.387
1612195200,2381,50,30,0,0,20,40,-32.7167,-32.7167,-60.7833,-60.7833
1612264800,2380,50,30,10,70,60,50,55.734,55.73,-4.88,-4.89
1612335600,2378,10,50,0,40,60,70,-0.46,-0.86,131.256,129.8667
1612425600,2377,70,85,40,90,75,95,37.65,37.6,21.33,21.28
1612454400,2351,40,60,10,0,20,70,4.5,-0.5,74.5,72.5
1612499012,9751,75,60,50,70,80,70,9.95,9.75,123.88,123.68
1612540800,2358,0,90,0,0,0,90,46.4,46.2,30.75,30.55
1612569600,2376,20,30,10,40,50,0,43.55,43.5,10.35,10.25
1612625400,2375,70,30,50,20,80,60,4.05,3.0,9.7,8.5
1612677600,9750,40,50,20,0,60,80,54.0,53.8,8.7,6.5
1612677600,9749,60,50,40,30,70,80,54.5,53.5,8.7,7.0
1612725900,2374,10,40,10,20,60,0,10.4,10.2,107.1,106.9
1612753080,2373,10,20,15,5,50,25,32.5,32.0,133.5,132.5
1612774821,2372,10,70,0,0,30,60,53.56,53.54,10.0,9.98
1612800000,2367,50,80,20,0,70,90,50.57,49.49,0.11,-2.45
1612800000,2369,0,0,0,0,30,25,51.29,51.27,4.3,4.28
1612972800,2365,10,40,20,0,30,70,-0.3,-0.7,117.3,117.0
1613022453,2366,20,40,30,0,70,80,40.8,39.3,28.6,26.0
1613076600,2363,20,30,25,0,70,60,46.9651,46.6167,31.9974,31.55
1613125370,2364,30,50,10,30,50,70,36.15,36.12,-5.33,-5.37
1613158200,2362,40,20,30,50,70,70,19.5,18.5,71.5,70.5
1613184600,2361,50,80,40,70,75,70,54.35,54.3,10.15,10.1
1613291800,2360,10,30,10,0,20,80,43.65,40.4,51.17,49.87
1613485877,2356,0,20,0,0,10,10,39.9,39.7,4.2,4.0
1613588400,2354,70,20,30,60,80,75,48.0,43.0,155.0,145.0
1613628507,2353,40,70,20,60,80,60,47.27,47.25,-122.4,-122.42
1613630365,2352,20,50,0,0,30,50,60.1,59.9,20.6,20.4
1613634026,9748,20,15,10,25,60,5,6.45,6.25,99.9,99.7
1613712600,2350,40,70,30,80,60,75,45.5,45.0,37.0,36.0
1613750400,2344,20,30,40,0,50,20,48.5,47.5,-4.0,-6.0
1613768620,2349,20,40,10,0,60,70,36.16,35.85,-5.25,-5.4
1613775480,2348,0,70,0,0,0,40,46.35,46.33,-72.53,-72.55
1613851216,9745,50,30,20,10,60,90,51.7143,51.5,-2.6992,-5.0427
1613887917,2345,60,70,30,80,85,75,10.8,10.7,106.75,106.65
1613901600,2342,30,80,20,70,50,80,54.3,53.8,9.8,9.0
1614056133,2340,40,35,10,20,60,70,32.8,31.5,34.5,32.3
1614096000,2330,20,70,0,0,20,85,59.0,58.5,6.0,5.0
1614096000,2326,10,40,10,50,60,90,18.05,18.03,-63.07,-63.1
1614101400,2336,30,70,10,0,60,50,51.06,51.04,2.38,2.36
1614147708,2337,10,50,0,0,70,50,38.1936,38.1936,15.5542,15.5542
1614182400,2332,70,20,10,0,50,60,26.5,22.0,60.0,56.0
1614274200,2331,20,30,0,10,70,50,11.0,10.5,108.5,107.5
1614289601,2333,70,20,30,50,70,80,36.95,36.93,27.17,27.15
1614441600,2274,0,0,0,0,0,0,-75.0,-75.5,-25.0,-26.5
1614441600,9743,10,50,0,30,70,40,53.02,53.0,158.66,158.64
1614528000,2322,20,70,30,10,20,90,36.5,36.3,28.3,27.8
1614686400,2325,40,20,30,50,70,30,41.6,41.2,-65.0,-66.0
1614718147,2324,40,60,30,50,70,80,51.45,51.4,3.6,3.5
1614752508,2323,10,30,0,0,20,0,-32.696,-32.796,-60.696,-60.796
1614841499,2320,85,75,60,90,70,85,54.3233,53.8958,10.1398,9.1044
1614899768,2317,10,50,30,10,40,10,53.54,53.23,8.58,8.34
1614970800,2318,40,30,20,10,70,50,42.8,42.6,132.4,132.0
1615024965,2310,60,50,20,10,80,40,-2.5,-2.7,-80.0,-80.3
1615107600,2313,10,30,20,25,70,15,40.2,40.1,26.5,26.3
1615109786,2315,40,20,0,50,60,70,-20.12,-20.13,57.47,57.45
1615112164,2314,20,60,30,50,70,80,-0.8636,-0.9636,131.2518,131.1518
1615219200,2305,70,80,10,0,20,90,31.2232,31.2232,29.9187,29.9187
1615226400,2302,30,10,20,0,60,70,13.1333,13.1333,110.8333,110.8333
1615392000,2288,10,30,0,0,20,30,-33.8,-33.9,151.25,151.15
1615398234,9739,20,70,30,50,80,60,65.2,64.9,-22.0,-23.5
1615405200,9740,80,70,30,85,90,75,44.2,44.1,29.0,28.8
1615413600,2301,70,60,30,50,80,75,31.6,31.4,30.1,29.9
1615445199,2300,65,80,30,50,85,75,35.6,35.4,35.8,35.6
1615446000,2299,80,60,20,0,90,80,2.9,2.8,3.4,2.3
1615534192,2297,70,60,50,75,85,80,41.18,41.08,29.71,29.51
1615540793,2296,10,30,0,20,50,70,39.6237,39.6137,19.9213,19.9113
1615564800,2286,70,60,10,0,0,80,14.7565,4.6249,121.0586,119.375
1615614000,2295,65,40,55,50,75,90,36.6,36.1,23.2,22.5
1615629600,2294,60,80,75,90,50,85,54.364,54.36,10.155,10.145
1615694400,2291,20,50,30,10,40,70,53.9,53.88,9.14,9.12
1615716000,2293,70,60,50,75,80,85,10.96,10.91,108.32,108.27
1615729200,2284,10,30,0,0,60,50,44.73,44.7,37.8,37.75
1615824000,9720,20,90,50,0,60,100,-3.119,-23.9608,-46.3336,-60.0213
1615824000,2283,10,70,0,0,50,80,55.7211,55.7011,9.5463,9.5263
1615878102,2287,20,90,30,0,10,100,43.4,43.3,-8.35,-8.45
1616040000,2281,10,50,20,10,70,30,18.2,18.1,-94.37,-94.47
1616040000,9735,10,30,5,20,40,15,53.55,53.5,10.02,9.93
1616082457,9736,60,50,40,70,80,90,39.85,39.8,26.05,25.95
1616111502,2280,60,80,30,0,75,70,37.49,37.49,129.12,129.12
1616187600,2278,10,30,0,20,40,10,44.95,44.85,13.95,13.85
1616428800,9733,85,90,70,95,60,95,31.25,29.9668,32.58,32.3
1616428800,2226,95,90,70,100,60,100,30.0175,29.9175,32.58,32.53
1616428800,2035,30,20,10,0,0,100,31.3,29.8,32.6,32.2
1616446800,9734,20,30,30,10,60,15,30.0,29.8,32.6,32.4
1616450400,2269,85,90,70,100,50,100,30.0175,30.0175,32.58,32.58
1616616000,2267,20,60,10,0,50,30,-20.2,-20.4,118.7,118.5
1616649172,2266,70,90,30,100,50,95,31.27,29.93,32.6,32.3
1616653020,2265,10,70,20,30,60,75,69.73,69.72,30.05,30.03
1616656888,2264,10,0,5,30,50,0,44.5,44.3,12.4,12.2
1616762966,2262,90,50,80,100,20,75,31.25,29.97,32.55,32.28
1616792791,2261,95,90,80,100,60,100,31.27,22.24,39.04,32.3
1616794800,9730,70,60,30,80,85,75,27.0,26.5,120.5,119.5
1616817600,2260,10,30,0,0,50,20,25.15,25.14,121.45,121.44
1616836219,2258,40,70,30,20,50,80,40.97,40.87,28.78,28.58
1616947200,2252,10,30,0,20,50,10,53.9,53.89,9.11,9.1
1616961587,2257,95,90,70,100,60,100,30.02,30.01,32.58,32.57
1616978484,9729,90,70,50,100,30,100,31.5,29.5,33.0,32.0
1616994000,2254,70,95,90,100,60,100,31.25,29.93,32.55,32.3
1617017145,9728,20,70,30,40,60,70,45.45,45.43,12.32,12.3
1617033600,2250,0,20,0,10,30,80,59.94,59.93,30.42,30.4
1617120000,2247,10,70,20,10,20,80,39.0,37.0,-76.0,-76.6
1617260301,2249,20,40,50,60,70,10,41.05,40.95,29.05,28.9
1617314400,2238,70,65,50,20,80,90,34.23,33.5,135.5,134.5
1617398007,2246,60,75,30,70,80,90,40.45,40.35,27.35,27.2
1617400500,2245,20,30,10,0,20,0,34.6,34.5,133.7,133.6
1617414300,9727,60,50,20,40,70,65,-5.8,-6.2,108.8,108.4
1617422400,2244,10,5,0,20,50,0,13.599,13.595,100.583,100.579
1617465600,9726,30,60,10,40,70,60,-10.1667,-10.6667,123.5833,123.25
1617552000,2232,30,70,50,20,80,100,3.1,2.9,101.5,101.3
1617602400,2242,10,0,0,0,50,60,-50.0,-70.0,100.0,60.0
1617638400,2239,70,40,30,80,85,90,62.05,61.95,-7.15,-7.25
1617675000,9725,10,30,40,50,60,10,30.3,30.2,32.4,32.3
1617696000,2240,30,50,20,10,70,80,3.05,2.95,101.45,101.35
1617732000,2241,70,20,30,50,80,40,53.5,53.2,5.3,4.9
1617748176,2236,30,70,20,40,60,80,51.92,51.88,4.4,4.3
1617774600,9724,30,70,25,20,65,75,14.55,14.45,120.95,120.85
1617780923,2237,60,20,10,40,80,70,53.7,53.3,6.2,5.5
1617811200,2234,20,40,0,0,50,70,37.8,37.5,-122.2,-122.5
1617811200,2235,10,70,0,0,20,60,2.53,2.51,101.81,101.79
1617909240,2233,10,40,10,30,20,0,39.85,39.83,3.13,3.11
1618034400,2231,70,60,40,75,85,80,22.8,22.6,113.9,113.7
1618156800,2229,30,20,10,30,60,40,13.0,12.5,74.5,73.5
1618243200,9714,70,90,10,20,30,100,1.3521,-6.2088,106.8456,95.0
1618300949,2228,70,60,40,20,80,75,25.3,25.1,56.5,56.2
1618304400,2227,70,60,40,75,85,80,29.1142,29.0308,-90.1495,-90.2495
1618393800,2224,40,50,30,60,70,75,51.43,51.38,4.05,3.85
1618405200,2222,50,30,20,40,70,60,9.95,9.75,107.2,106.98
1618416000,2177,30,70,20,10,50,100,1.28,1.26,103.8,103.78
1618522200,2221,70,60,30,80,85,60,39.85,39.8,26.25,26.0
1618588800,2217,50,80,30,10,60,90,36.43,34.93,28.22,24.83
1618588800,2214,20,30,40,50,60,10,53.9,53.89,9.14,9.13
1618826400,2211,60,80,30,70,90,85,38.9147,37.4997,122.1136,121.6022
1618846800,2213,40,50,30,10,60,70,40.85,40.75,29.25,29.15
1618846800,9718,65,80,30,50,70,90,40.85,40.8,29.35,29.25
1618897200,2210,10,30,20,0,25,10,44.5,44.1,8.7,8.3
1618912800,2209,10,70,10,0,20,100,49.53,49.45,0.2,0.1
1618982400,2195,60,30,20,50,70,80,-7.667,-8.0,115.0,114.5
1618982400,2206,60,30,10,50,80,80,-7.5,-8.2,115.5,114.5
1619002800,2205,50,60,30,40,70,40,41.05,40.95,29.1,28.9
1619139600,2202,80,60,30,0,90,80,2.0,0.0,6.0,4.0
1619246342,2198,10,80,20,30,60,100,49.55,49.45,0.2,0.0
1619366400,2184,30,50,10,20,40,80,-18.1,-18.2,49.45,49.35
1619431415,2192,70,60,10,0,0,30,-34.5,-35.0,-56.0,-56.5
1619456400,9717,60,80,40,75,85,90,36.1,35.3,120.5,119.5
1619478000,2187,30,50,20,25,60,40,37.2,37.0,-75.8,-76.0
1619480728,2190,40,60,20,30,70,50,41.1,40.9,29.1,28.8
1619539200,2167,25,70,0,0,50,90,2.1667,1.1667,101.9333,100.9333
1619571600,2185,40,30,20,10,70,50,34.5,34.0,-119.5,-120.5
1619697600,2178,50,80,40,30,60,90,32.36,32.32,15.25,15.21
1619728200,9715,20,70,30,10,60,80,37.3,37.2,-6.85,-7.05
1619775588,2180,20,30,10,25,70,60,23.03,22.93,70.22,70.12
1619884800,2171,85,30,50,10,70,75,-36.7,-53.0,-70.0,-75.0
1620076491,2176,10,75,20,0,30,100,30.0,29.8,122.3,121.5
1620095060,2174,70,50,20,80,85,90,5.0,3.5,113.5,111.5
1620100800,9713,30,20,0,40,70,80,49.7,49.4,0.1,-1.7
1620110436,2173,10,70,0,0,60,30,36.14,36.12,-5.4,-5.44
1620230400,2165,90,95,10,0,50,100,14.5995,1.2897,120.9222,80.3244
1620315000,9711,20,70,30,10,60,50,1.25,1.15,104.35,103.8
1620469484,2163,10,70,0,0,20,80,43.03,43.01,3.06,3.04
1620569700,2159,85,90,70,95,65,80,46.5,45.8,48.5,47.8
1620576000,9708,10,90,0,0,0,100,39.48,39.45,-0.3,-0.33
1620624700,2160,0,50,0,0,20,50,50.567,50.557,-2.432,-2.452
1620662400,2141,50,30,10,40,80,70,31.84,31.66,34.68,34.53
1620710619,2158,0,10,0,0,20,0,38.95,38.85,22.65,22.55
1620883002,2156,30,50,40,10,60,50,41.0,40.8,29.0,28.6
1620945137,2152,0,60,0,0,30,80,-20.2,-20.3,-40.2,-40.3
1620976500,2153,20,40,20,60,50,0,59.53,59.5,16.03,15.97
1620981600,2154,70,80,50,60,75,90,37.7,37.3,-122.1,-122.6
1621008000,2150,70,80,10,85,90,95,13.0,12.8,74.9,74.7
1621008000,2132,85,70,50,90,60,95,53.23,53.2,6.6,6.55
1621035010,2151,40,20,0,10,70,75,-30.0,-33.0,103.0,100.0
1621115375,2149,20,70,40,50,80,90,5.86,5.83,-55.15,-55.2
1621127272,2148,50,70,20,0,0,100,13.8,13.7,109.25,109.15
1621159068,2146,30,70,40,40,60,70,40.45,40.35,26.85,26.75
1621205814,9707,75,85,50,70,90,80,13.5,12.5,75.2,74.5
1621211411,2143,70,60,30,50,80,70,19.0,18.0,72.5,72.0
1621231587,9706,85,80,30,90,95,75,19.676,19.476,72.4477,72.2477
1621245600,9705,40,20,10,30,70,50,22.5,21.0,73.0,72.0
1621267200,2139,70,50,20,80,85,75,20.0,18.0,73.0,72.0
1621353600,2131,70,60,40,80,85,75,20.85,20.75,107.05,106.95
1621375200,2136,70,60,50,80,90,80,3.5,2.5,100.5,100.0
1621420200,2135,65,50,40,20,80,60,5.28,4.28,1.138,0.138
1621578921,9700,20,70,10,50,80,60,51.5,50.5,142.5,141.5
1621699200,2128,70,50,30,75,85,90,17.6,17.4,56.2,55.8
1621760448,2129,10,30,10,0,50,20,22.3,22.2,89.65,89.55
1621889221,2127,75,85,60,90,85,95,6.9319,6.9319,79.8438,79.8438
1621904384,2126,0,50,10,0,0,100,9.0,8.9,-79.5,-79.6
1621980000,2123,20,30,0,10,70,25,44.7,44.3,143.5,143.2
1622003458,2121,70,80,30,75,85,95,6.96,6.92,79.87,79.81
1622040600,2116,70,60,40,75,80,70,27.0,26.0,57.0,56.0
1622044800,2115,10,80,0,0,10,70,43.3713,43.2713,-8.396,-8.496
1622076846,2117,60,70,40,50,80,50,40.15,40.0,26.5,26.35
1622130900,9697,70,80,30,60,85,90,34.3,34.0,132.8,132.5
1622194200,2114,20,15,15,60,30,10,30.35,30.2,32.5,32.3
1622196000,2113,75,85,50,90,80,85,40.0,39.9,0.0,-0.1
1622250000,2112,60,30,0,70,80,40,-1.5,-2.5,126.5,125.0
1622340000,2111,30,50,20,60,70,40,40.2,40.0,26.5,26.3
1622343600,2110,60,70,20,50,80,90,7.0,6.8,80.0,79.7
1622414971,2107,10,15,0,25,50,10,57.5,56.0,12.5,10.5
1622433600,2106,10,75,30,0,50,10,55.87,55.87,12.83,12.83
1622460600,2102,60,30,10,0,70,40,5.65,3.23,2.42,0.0
1622529000,2101,0,60,0,0,10,80,35.2,35.0,129.1,128.9
1622535813,2100,70,60,30,50,80,90,7.04,6.84,79.94,79.74
1622583230,2099,40,30,20,20,70,60,25.7,25.6,57.8,57.7
1622588598,2098,70,50,30,80,85,75,28.5,28.3,33.2,33.0
1622595411,2097,70,80,30,85,90,95,6.99,6.89,79.89,79.79
1622606400,2093,10,50,0,0,0,60,37.41,37.21,13.68,13.48
1622618555,2094,20,75,10,15,70,80,22.35,22.25,114.2,114.1
1622691000,9691,70,85,60,40,75,90,22.6143,22.5143,120.2673,120.1673
1622694600,2088,10,70,5,0,20,60,38.05,37.9,12.6,12.4
1622826000,2087,70,65,20,50,75,85,57.95,57.9,19.05,18.95
1622881020,2078,30,20,10,40,50,30,40.7236,40.7186,-73.9562,-73.9662
1622908800,2081,60,50,30,70,80,90,9.2,9.0,98.4,98.2
1622908800,2054,10,30,70,0,30,60,26.0906,26.0906,-80.1175,-80.1175
1622930400,2083,10,70,10,0,0,80,15.5,15.3,73.9,73.7
1622954594,2086,20,70,30,40,50,90,46.64,46.62,32.61,32.58
1622970000,2085,70,30,10,0,90,60,2.9544,2.7544,3.4792,3.2792
1623023409,2075,70,60,10,0,20,10,32.75,32.55,-16.81,-17.01
1623088800,9686,30,40,0,50,70,20,38.7,38.6,1.5,1.4
1623126600,2080,70,20,30,50,85,75,13.25,12.5,54.5,53.5
1623168000,2073,30,70,10,0,10,80,-2.6,-2.8,-79.7,-79.9
1623340800,9682,60,30,0,50,70,50,42.7,41.7,9.9,9.3
1623364213,2072,60,20,10,30,70,80,32.0,28.0,-148.0,-152.0
1623384000,2067,20,30,10,40,70,80,40.5,40.0,27.0,26.0
1623478982,2066,60,75,30,70,85,80,14.615,14.605,120.98,120.96
1623482344,2065,70,60,20,0,80,70,35.9,34.7,14.5,10.6
1623513600,2063,10,50,20,0,40,30,32.83,32.81,35.02,34.99
1623556800,2064,20,70,40,10,50,80,19.6158,19.5158,37.2164,37.1164
1623686400,2034,20,90,10,0,0,100,53.5412,53.5412,9.9937,9.9937
1623772800,2052,20,30,10,0,40,10,49.0,48.4,-4.5,-5.5
1623819717,2053,10,30,20,20,60,10,40.92,40.86,29.32,29.15
1623909214,2050,70,60,20,80,90,75,18.85,18.5,73.0,72.75
1623910814,2049,30,50,30,50,70,30,41.3,41.1,29.2,29.0
1623913437,2048,20,30,10,15,25,0,62.5,62.45,6.35,6.1
1623924070,2047,30,50,0,0,70,30,10.0,8.0,85.0,83.0
1623945600,2044,20,70,40,0,50,60,46.4,46.2,30.8,30.5
1624186490,2043,40,70,50,30,65,50,36.132,35.932,129.481,129.281
1624204800,2036,70,80,30,90,85,95,-33.4,-33.6,-60.0,-60.2
1624238978,2041,70,50,0,80,90,85,20.5,18.5,60.5,58.5
1624256780,2040,70,80,30,85,90,60,40.15,40.1,-8.8,-8.9
1624440600,2032,70,80,10,0,60,50,54.35,54.3,10.15,10.1
1624507200,2028,40,70,20,30,50,80,36.59,36.57,36.18,36.16
1624524187,2031,40,10,20,30,60,20,-32.47,-32.87,34.47,34.07
1624524871,2030,60,50,40,70,75,80,62.4,62.3,17.6,17.4
1624534200,2029,70,50,60,40,80,90,7.0,5.0,90.0,85.0
1624599304,2026,100,100,80,100,70,100,31.27,29.93,32.55,32.28
1624776302,2025,50,30,20,10,60,70,41.0,40.7,29.3,28.9
1624854600,2023,50,70,30,60,80,75,5.5,2.5,101.0,98.0
1624940400,2022,20,70,30,10,60,50,43.42,43.32,-8.37,-8.47
1624965120,2021,70,80,30,85,75,90,-7.7,-8.2,114.5,113.8
1640802600,2457,70,60,40,50,80,75,31.35,31.21,129.5,129.3
